epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0731,1.6247,4.21628,1.43483,0,0,0,0,1.48207,4.75724,1.38778,5.001e-05,5.001e-05,5.001e-05
2,45.6583,1.33993,4.24401,1.24379,0.00152,0.32143,0.01154,0.00902,1.34714,4.46393,1.2361,0.00011438,0.00011438,0.00011438
3,68.4251,1.20061,3.34294,1.09546,0.00401,0.82857,0.49099,0.26655,1.35377,4.11503,1.13095,0.000176109,0.000176109,0.000176109
4,91.1914,1.31375,2.91533,1.14251,0.00413,0.87857,0.50818,0.3007,1.17118,3.88963,1.0001,0.000235197,0.000235197,0.000235197
5,113.987,1.21562,2.39476,1.10416,0.00443,0.95,0.5455,0.3389,1.1838,3.83434,1.01785,0.000291645,0.000291645,0.000291645
